name,lat,lon
Abohar,30.1204,74.29
Abu,24.5925,72.7083
Addanki,15.811,79.9738
Adilabad,19.6667,78.5333
Adoni,15.63,77.28
Agartala,23.8333,91.2667
Agra,27.18,78.02
Ahmadabad,23.03,72.58
Ahmadnagar,19.0833,74.7333
Aizawl,23.7104,92.72
Ajmer,26.468,74.639
Akola,20.7333,77
Aligarh,27.88,78.08
Alipur Duar,26.4837,89.5667
Allahabad,25.455,81.84
Alleppey,9.5004,76.37
Alwar,27.5667,76.6167
Amalapuram,16.5833,82.0167
Amarkantak,22.6751,81.7596
Ambala,30.3786,76.7725
Amravati,20.9333,77.75
Amritsar,31.6167,74.85
Amudalavalasa,18.4167,83.9
Anakapalle,17.68,83.02
Anantapur,14.6833,77.6
Angamali,10.196,76.386
Armur,18.79,78.29
Asansol,23.6833,86.9667
Aurangabad,19.88,75.32
Aurangabad,24.7704,84.38
Badvel,14.75,79.05
Baharampur,24.1,88.25
Bahraigh,27.6204,81.6699
Baidyabati,22.79,88.32
Bali,22.65,88.34
Balurghat,25.2167,88.7667
Bandipura,34.4225,74.6375
Bangalore,12.9699,77.598
Bangaon,23.07,88.82
Bankura,23.25,87.0667
Bansbaria,22.97,88.4
Bapatla,15.8889,80.47
Baramula,34.2,74.34
Barasat,22.2333,88.45
Barddhaman,23.25,87.85
Barehra,27.75,78.5667
Bareilly,28.364,79.415
Basirhat,22.6572,88.8942
Begusarai,25.42,86.13
Belampalli,19.0558,79.4931
Belgaum,15.8667,74.5
Bellary,15.15,76.915
Belur,13.1642,75.8647
Betma,22.68,75.62
Bezwada,16.5167,80.6167
Bhadreswar,22.82,88.35
Bhagalpur,25.25,87.0167
Bhainsa,19.1,77.9667
Bharatpur,27.2172,77.49
Bhatpara,22.8667,88.4167
Bhavnagar,21.765,72.1369
Bhayandar,19.3,72.85
Bhilai,21.2167,81.4333
Bhilwara,25.35,74.6333
Bhimavaram,16.5333,81.5333
Bhimunipatnam,17.8864,83.4471
Bhiwandi,19.3,73.0667
Bhiwani,28.7833,76.1333
Bhopal,23.25,77.4167
Bhubaneshwar,20.2644,85.8281
Bhuj,23.2504,69.81
Bhusaval,21.02,75.83
Bidar,17.9229,77.5175
Bijapur,16.8244,75.7154
Bikaner,28.0181,73.3169
Bilaspur,22.15,82.0167
Bobbili,18.5667,83.4167
Bodhan,18.67,77.9
Bodupal,17.4139,78.5783
Brahmapur,19.32,84.8
Budaun,28.03,79.09
Bulandshahr,28.4104,77.8484
Burhanpur,21.3004,76.13
Calicut,11.25,75.7667
Cawnpore,26.4725,80.3311
Chakradharpur,22.7,85.63
Champdani,22.8,88.37
Chanda,19.95,79.3
Chandannagar,22.8667,88.3833
Chandigarh,30.7353,76.7911
Channarayapatna,12.9,76.39
Chennai,13.0825,80.275
Chicacole,18.3,83.9
Chikhli,20.75,73.07
Chilakalurupet,16.0892,80.1672
Chimakurti,15.5819,79.868
Chinchvad,18.6278,73.8131
Chipurupalle,18.3,83.5667
Chirala,15.82,80.35
Chittaurgarh,24.8894,74.6239
Chittoor,13.2,79.1167
Coimbatore,11,76.9667
Conjeeveram,12.8308,79.7078
Cuddalore,11.75,79.75
Cuddapah,14.4667,78.8167
Curchorem,15.25,74.1
Cuttack,20.45,85.8667
Dam Dam,22.62,88.42
Daman,20.417,72.85
Darjeeling,27.0417,88.2631
Davangere,14.4667,75.9167
Dehra Dun,30.318,78.029
Delhi,28.66,77.23
Deo,24.6561,84.4356
Devarkonda,16.7,78.9333
Dhanbad,23.7928,86.435
Dharmavaram,14.4142,77.715
Dharmsala,32.2167,76.3167
Dholka,22.72,72.47
Dhulia,20.9,74.7833
Dibrugarh,27.4833,95
Dindigul,10.35,77.95
Dispur,26.15,91.77
Diu,20.7197,70.9904
Draksharama,16.7928,82.0635
Drug,21.19,81.28
Dubak,18.1914,78.6783
Durgapur,23.55,87.32
Dwarka,22.2403,68.9686
Ellore,16.7,81.1
Emmiganur,15.7333,77.4833
Erode,11.3408,77.7172
Etawah,26.7855,79.015
Faridabad,28.4333,77.3167
Fatehpur,25.8804,80.8
Fatehpur Sikri,27.0911,77.6611
Firozabad,27.15,78.3949
Fyzabad,26.7504,82.17
Gadwal,16.23,77.8
Gangtok,27.33,88.62
Gauripur,26.08,89.97
Gaya,24.75,85.0167
Ghandinagar,23.22,72.68
Ghaziabad,28.6667,77.4167
Giddalur,15.3784,78.9265
Godhra,22.7755,73.6149
Gorakhpur,26.7611,83.3667
Gudivada,16.43,80.99
Gulbarga,17.3333,76.8333
Guntakal,15.17,77.38
Guntur,16.3,80.45
Gurgaon,28.45,77.02
Guwahati,26.1667,91.7667
Gwalior,26.215,78.1931
Habra,22.83,88.63
Haldia,22.0257,88.0583
Halisahar,22.95,88.42
Handwara,34.4,74.28
Haora,22.59,88.31
Hapur,28.7437,77.7628
Haripur,31.52,75.98
Hassan,13.005,76.1028
Hathras,27.6,78.05
Hindupur,13.83,77.49
Hisar,29.1489,75.7367
Hospet,15.2667,76.4
Hubli,15.36,75.125
Hugli,22.9,88.39
Hyderabad,17.3667,78.4667
Ichalkaranji,16.7,74.47
Imphal,24.82,93.95
Indore,22.7206,75.8472
Ingraj Bazar,25,88.15
Itanagar,27.1,93.62
Jabalpur,23.1667,79.9333
Jaggayyapeta,16.892,80.0976
Jagtial,18.8,78.93
Jaipur,26.9167,75.8667
Jaisalmer,26.9167,70.9167
Jalandhar,31.3256,75.5792
Jalgaon,21.0167,75.5667
Jalor,25.35,72.6167
Jalpaiguri,26.5167,88.7333
Jammalamadugu,14.85,78.38
Jammu,32.7333,74.85
Jamnagar,22.47,70.07
Jamshedpur,22.8,86.1833
Jamuria,23.7,87.08
Jangaon,17.72,79.18
Jasdan,22.03,71.2
Jatani,20.17,85.7
Jaunpur,25.7333,82.6833
Jaynagar-Majilpur,22.1772,88.4258
Jhansi,25.4486,78.5696
Jodhpur,26.2918,73.0168
Jorhat,26.75,94.2167
Junnar,19.2,73.88
Kadiri,14.12,78.17
Kairana,29.4,77.2
Kakinada,16.9333,82.2167
Kalyan,19.2502,73.1602
Kalyani,22.975,88.4344
Kamareddipet,18.3167,78.35
Kamarhati,22.67,88.37
Kanchrapara,22.97,88.43
Kandukur,15.2165,79.9042
Karimnagar,18.4333,79.15
Karnal,29.6804,76.97
Karur,10.9504,78.0833
Kavali,14.9123,79.9944
Kavaratti,10.5626,72.6369
Khajuraho,24.85,79.9333
Khambhat,22.3131,72.6194
Khammam,17.25,80.15
Kharagpur,22.3302,87.3237
Khardah,22.72,88.38
Khed,17.72,73.38
Khed Brahma,24.0299,73.0463
Khem Karan,31.16,74.66
Kilkunda,11.2569,76.6697
Kochi,9.9667,76.2833
Kodaikanal,10.23,77.48
Kohima,25.6667,94.1194
Koilkuntla,15.2333,78.3167
Kolar,13.1333,78.1333
Kolhapur,16.7,74.2333
Kolkata,22.5411,88.3378
Konarka,19.8878,86.0948
Koratla,18.82,78.72
Kota,25.18,75.83
Kothapet,19.3333,79.4833
Kottagudem,17.55,80.63
Kovvur,17.0167,81.7333
Krishnanagar,23.4,88.5
Kulgam,33.64,75.02
Kulti,23.73,86.85
Kulu,31.96,77.1
Kurnool,15.8222,78.035
Lansdowne,29.83,78.68
Latur,18.4004,76.57
Loutolim,15.33,73.98
Lucknow,26.847,80.947
Ludhiana,30.9083,75.8486
Macherla,16.48,79.43
Machilipatnam,16.1667,81.1333
Madanapalle,13.55,78.5
Madhyamgram,22.7,88.45
Madurai,9.9197,78.1194
Mahadipur,24.8566,88.1248
Mahbubnagar,16.7333,77.9833
Mahesana,23.6,72.4
Maihar,24.27,80.75
Malaut,30.19,74.499
Malegaon,20.55,74.55
Manali,32.2044,77.17
Mancheral,18.8679,79.4639
Mandamari,18.9822,79.4811
Mandapeta,16.87,81.93
Mandsaur,24.03,75.08
Mandya,12.5242,76.8958
Mangalagiri,16.43,80.55
Mangalore,12.8703,74.8806
Mangur,17.9373,80.8185
Markapur,15.735,79.27
Mathura,27.4833,77.6833
Mauli,30.7194,76.7181
Medinipur,22.4333,87.3333
Meerut,28.99,77.7
Meghraj,23.5,73.5
Metpalli,18.8297,78.5878
Mirzapur,25.15,82.58
Moradabad,28.8418,78.7568
Mumbai,18.9667,72.8333
Mundra,22.85,69.73
Muzaffarnagar,29.4708,77.7033
Muzaffarpur,26.12,85.3833
Mysore,12.3086,76.6531
Nagari,13.33,79.58
Nagercoil,8.17,77.43
Nagpur,21.1539,79.0831
Naihati,22.9,88.42
Naini Tal,29.3919,79.4542
Nalgonda,17.05,79.27
Naliya,23.2611,68.8267
Nanded,19.15,77.3333
Nandod,21.8704,73.5026
Nandyal,15.48,78.48
Narasannapeta,18.4151,84.0447
Narasapur,16.4333,81.6833
Narasaraopet,16.236,80.054
Nasik,20,73.7833
Navadwip,23.4088,88.3657
Navsari,20.8504,72.92
Negapatam,10.7667,79.8333
Nellore,14.4333,79.9667
New Delhi,28.7,77.2
Niala Kondapalle,17.1,80.0506
Nidadavole,16.92,81.67
Nizamabad,18.6704,78.1
Ongole,15.5,80.05
Ootacamund,11.4086,76.6939
Orchha,25.35,78.64
Osmanabad,18.1667,76.05
Palakollu,16.5333,81.7333
Palghat,10.7792,76.6547
Pali,25.7725,73.3233
Palmaner,13.2,78.75
Paloncha,17.5815,80.6765
Pamidi,14.95,77.5833
Panaji,15.48,73.83
Panchgani,17.92,73.82
Panihati,22.69,88.37
Panipat,29.4004,76.97
Parbhani,19.2704,76.76
Parigi,13.8929,77.4598
Pathanamthitta,9.2647,76.7872
Pathankot,32.2689,75.6497
Patiala,30.3204,76.385
Patna,25.61,85.1414
Pedana,16.2667,81.1667
Pedda Nandipadu,16.0728,80.3294
Pilibhit,28.64,79.81
Pithapuram,17.1167,82.2667
Ponduru,18.3508,83.7567
Ponnuru,16.0667,80.5667
Porbandar,21.6425,69.6047
Port Blair,11.6667,92.75
Proddatur,14.73,78.55
Puducherry,11.93,79.83
Pulivendla,14.4167,78.2333
Pune,18.5196,73.8553
Punganuru,13.3667,78.5833
Puri,19.8,85.8167
Purnea,25.78,87.47
Pushkar,26.5,74.55
Puttur,13.45,79.55
Quilon,8.8853,76.5864
Raichur,16.2104,77.355
Raiganj,25.6167,88.1167
Raipur,21.2379,81.6337
Rajahmundry,16.9833,81.7833
Rajaori,33.38,74.3
Rajapalaiyam,9.4204,77.58
Rajgir,25.03,85.42
Rajkot,22.2969,70.7984
Rajmahal,25.05,87.84
Rameswaram,9.28,79.3
Ramgundam,18.8,79.45
Rampur,28.8154,79.025
Ranchi,23.3556,85.3347
Ratlam,23.3167,75.0667
Raurkela,22.2492,84.8828
Rayachoti,14.05,78.75
Repalle,16.02,80.85
Rishra,22.71,88.35
Rohtak,28.9,76.5667
Saharanpur,29.964,77.546
Saharsa,25.88,86.6
Salem,11.65,78.1667
Samalkot,17.0531,82.1695
Sambalpur,21.4704,83.9701
Sambhal,28.58,78.55
Sangli,16.8667,74.5667
Sannai,24.16,80.83
Sattenapalle,16.3962,80.1497
Saugor,23.8504,78.75
Secunderabad,17.45,78.5
Seven Pagodas,12.6227,80.1939
Shahjanpur,27.8804,79.905
Shantipur,23.25,88.43
Shiliguri,26.72,88.42
Shillong,25.5744,91.8789
Shimla,31.1033,77.1722
Shimoga,13.9304,75.56
Shrirampur,22.75,88.34
Shrirangapattana,12.4181,76.6947
Sihor,21.7,71.97
Sikar,27.6119,75.1397
Silchar,24.7904,92.79
Silvassa,20.2666,73.0166
Sirsa,29.4904,75.03
Sirsilla,18.38,78.83
Sitalpur,27.63,80.75
Solan,30.92,77.12
Solapur,17.6833,75.9167
Sonipat,28.9958,77.0114
Sopur,34.3,74.47
Srinagar,34.0911,74.8061
Surat,21.17,72.83
Suriapet,17.15,79.6167
Tadepalle,16.4667,80.6
Tadepallegudem,16.8333,81.5
Tadpatri,14.92,78.02
Tanjore,10.8,79.15
Tanuku,16.75,81.7
Tenali,16.243,80.64
Tezpur,26.6338,92.8
Thane,19.18,72.9633
Thiruvananthapuram,8.5,76.8997
Tinnevelly,8.7289,77.7081
Tirupati,13.65,79.42
Tiruppur,11.1075,77.3398
Tiruvannamalai,12.2604,79.1
Titagarh,22.74,88.37
Tonk,26.1505,75.79
Trichinopoly,10.8269,78.6928
Trichur,10.52,76.21
Tumkur,13.33,77.1
Tuni,17.35,82.55
Tuticorin,8.7833,78.1333
Udaipur,24.5833,73.6833
Udhampur,32.93,75.13
Udipi,13.3322,74.7461
Ujjain,23.1828,75.7772
Ulhasnagar,19.2167,73.15
Uluberiya,22.47,88.11
Umaria,23.5245,80.8365
Uran,18.89,72.95
Vadodara,22.3,73.2
Valparai,10.3204,76.97
Varanasi,25.3189,83.0128
Vellore,12.9204,79.15
Venkatagiri,13.9667,79.5833
Vidisha,23.5239,77.8061
Vikarabad,17.33,77.9
Vinukonda,16.05,79.75
