name,lat,lon
Addanki,15.811,79.9738
Adilabad,19.6667,78.5333
Adoni,15.63,77.28
Alleppey,9.5004,76.37
Amalapuram,16.5833,82.0167
Amudalavalasa,18.4167,83.9
Anakapalle,17.68,83.02
Anantapur,14.6833,77.6
Angamali,10.196,76.386
Armur,18.79,78.29
Badvel,14.75,79.05
Bangalore,12.9699,77.598
Bapatla,15.8889,80.47
Belampalli,19.0558,79.4931
Belgaum,15.8667,74.5
Bellary,15.15,76.915
Belur,13.1642,75.8647
Bezwada,16.5167,80.6167
Bhainsa,19.1,77.9667
Bhimavaram,16.5333,81.5333
Bhimunipatnam,17.8864,83.4471
Bidar,17.9229,77.5175
Bijapur,16.8244,75.7154
Bobbili,18.5667,83.4167
Bodhan,18.67,77.9
Bodupal,17.4139,78.5783
Calicut,11.25,75.7667
Channarayapatna,12.9,76.39
Chennai,13.0825,80.275
Chicacole,18.3,83.9
Chilakalurupet,16.0892,80.1672
Chimakurti,15.5819,79.868
Chipurupalle,18.3,83.5667
Chirala,15.82,80.35
Chittoor,13.2,79.1167
Coimbatore,11,76.9667
Conjeeveram,12.8308,79.7078
Cuddalore,11.75,79.75
Cuddapah,14.4667,78.8167
Davangere,14.4667,75.9167
Devarkonda,16.7,78.9333
Dharmavaram,14.4142,77.715
Dindigul,10.35,77.95
Draksharama,16.7928,82.0635
Dubak,18.1914,78.6783
Ellore,16.7,81.1
Emmiganur,15.7333,77.4833
Erode,11.3408,77.7172
Gadwal,16.23,77.8
Giddalur,15.3784,78.9265
Gudivada,16.43,80.99
Gulbarga,17.3333,76.8333
Guntakal,15.17,77.38
Guntur,16.3,80.45
Hassan,13.005,76.1028
Hindupur,13.83,77.49
Hospet,15.2667,76.4
Hubli,15.36,75.125
Hyderabad,17.3667,78.4667
Jaggayyapeta,16.892,80.0976
Jagtial,18.8,78.93
Jammalamadugu,14.85,78.38
Jangaon,17.72,79.18
Kadiri,14.12,78.17
Kakinada,16.9333,82.2167
Kamareddipet,18.3167,78.35
Kandukur,15.2165,79.9042
Karimnagar,18.4333,79.15
Karur,10.9504,78.0833
Kavali,14.9123,79.9944
Khammam,17.25,80.15
Kilkunda,11.2569,76.6697
Kochi,9.9667,76.2833
Kodaikanal,10.23,77.48
Koilkuntla,15.2333,78.3167
Kolar,13.1333,78.1333
Koratla,18.82,78.72
Kothapet,19.3333,79.4833
Kottagudem,17.55,80.63
Kovvur,17.0167,81.7333
Kurnool,15.8222,78.035
Macherla,16.48,79.43
Machilipatnam,16.1667,81.1333
Madanapalle,13.55,78.5
Madurai,9.9197,78.1194
Mahbubnagar,16.7333,77.9833
Mancheral,18.8679,79.4639
Mandamari,18.9822,79.4811
Mandapeta,16.87,81.93
Mandya,12.5242,76.8958
Mangalagiri,16.43,80.55
Mangalore,12.8703,74.8806
Mangur,17.9373,80.8185
Markapur,15.735,79.27
Metpalli,18.8297,78.5878
Mysore,12.3086,76.6531
Nagari,13.33,79.58
Nagercoil,8.17,77.43
Nalgonda,17.05,79.27
Nandyal,15.48,78.48
Narasannapeta,18.4151,84.0447
Narasapur,16.4333,81.6833
Narasaraopet,16.236,80.054
Negapatam,10.7667,79.8333
Nellore,14.4333,79.9667
Niala Kondapalle,17.1,80.0506
Nidadavole,16.92,81.67
Nizamabad,18.6704,78.1
Ongole,15.5,80.05
Ootacamund,11.4086,76.6939
Palakollu,16.5333,81.7333
Palghat,10.7792,76.6547
Palmaner,13.2,78.75
Paloncha,17.5815,80.6765
Pamidi,14.95,77.5833
Parigi,13.8929,77.4598
Pathanamthitta,9.2647,76.7872
Pedana,16.2667,81.1667
Pedda Nandipadu,16.0728,80.3294
Pithapuram,17.1167,82.2667
Ponduru,18.3508,83.7567
Ponnuru,16.0667,80.5667
Proddatur,14.73,78.55
Puducherry,11.93,79.83
Pulivendla,14.4167,78.2333
Punganuru,13.3667,78.5833
Puttur,13.45,79.55
Quilon,8.8853,76.5864
Raichur,16.2104,77.355
Rajahmundry,16.9833,81.7833
Rajapalaiyam,9.4204,77.58
Rameswaram,9.28,79.3
Ramgundam,18.8,79.45
Rayachoti,14.05,78.75
Repalle,16.02,80.85
Salem,11.65,78.1667
Samalkot,17.0531,82.1695
Sattenapalle,16.3962,80.1497
Secunderabad,17.45,78.5
Seven Pagodas,12.6227,80.1939
Shimoga,13.9304,75.56
Shrirangapattana,12.4181,76.6947
Sirsilla,18.38,78.83
Suriapet,17.15,79.6167
Tadepalle,16.4667,80.6
Tadepallegudem,16.8333,81.5
Tadpatri,14.92,78.02
Tanjore,10.8,79.15
Tanuku,16.75,81.7
Tenali,16.243,80.64
Thiruvananthapuram,8.5,76.8997
Tinnevelly,8.7289,77.7081
Tirupati,13.65,79.42
Tiruppur,11.1075,77.3398
Tiruvannamalai,12.2604,79.1
Trichinopoly,10.8269,78.6928
Trichur,10.52,76.21
Tumkur,13.33,77.1
Tuni,17.35,82.55
Tuticorin,8.7833,78.1333
Udipi,13.3322,74.7461
Valparai,10.3204,76.97
Vellore,12.9204,79.15
Venkatagiri,13.9667,79.5833
Vikarabad,17.33,77.9
Vinukonda,16.05,79.75
Vishakhapatnam,17.7333,83.3167
Vizianagaram,18.1167,83.4167
Wanparti,16.361,78.0627
Warangal,17.9756,79.6011
Yellandu,17.6,80.33
